"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","2016","2017","2018","2019"
"Solar-type dynamo behaviour in fully convective stars without a tachocline","Wright, Nicholas J.; Drake, Jeremy J.",NA,NA,NA,"NATURE","JUL 28 2016","2016","535","7613",NA,NA,NA,"526","+",NA,"10.1038/nature18638",NA,NA,"42","10.5",1,23,10,8
"Sliding sleeves of XRCC4-XLF bridge DNA and connect fragments of broken DNA","Brouwer, Ineke; Sitters, Gerrit; Candelli, Andrea; Heerema, Stephanie J.; Heller, Iddo; de Melo, Abinadabe J.; Zhang, Hongshan; Normanno, Davide; Modesti, Mauro; Peterman, Erwin J. G.; Wuite, Gijs J. L.",NA,NA,NA,"NATURE","JUL 28 2016","2016","535","7613",NA,NA,NA,"566","+",NA,"10.1038/nature18643",NA,NA,"42","10.5",1,18,19,4
"Dynamics of ribosome scanning and recycling revealed by translation complex profiling","Archer, Stuart K.; Shirokikh, Nikolay E.; Beilharz, Traude H.; Preiss, Thomas",NA,NA,NA,"NATURE","JUL 28 2016","2016","535","7613",NA,NA,NA,"570","+",NA,"10.1038/nature18647",NA,NA,"42","10.5",1,15,21,5
"Mitochondrial endonuclease G mediates breakdown of paternal mitochondria upon fertilization","Zhou, Qinghua; Li, Haimin; Li, Hanzeng; Nakagawa, Akihisa; Lin, Jason L. J.; Lee, Eui-Seung; Harry, Brian L.; Skeen-Gaar, Riley Robert; Suehiro, Yuji; William, Donna; Mitani, Shohei; Yuan, Hanna S.; Kang, Byung-Ho; Xue, Ding",NA,NA,NA,"SCIENCE","JUL 22 2016","2016","353","6297",NA,NA,NA,"394","399",NA,"10.1126/science.aaf4777",NA,NA,"42","10.5",6,19,13,4
"Intrinsic ferroelectric switching from first principles","Liu, Shi; Grinberg, Ilya; Rappe, Andrew M.",NA,NA,NA,"NATURE","JUN 16 2016","2016","534","7607",NA,NA,NA,"360","+",NA,"10.1038/nature18286",NA,NA,"42","10.5",4,19,15,4
"ADP-ribose-derived nuclear ATP synthesis by NUDIX5 is required for chromatin remodeling","Wright, Roni H. G.; Lioutas, Antonios; Le Dily, Francois; Soronellas, Daniel; Pohl, Andy; Bonet, Jaume; Nacht, A. S.; Samino, Sara; Font-Mateu, Jofre; Vicent, Guillermo P.; Wierer, Michael; Trabado, Miriam A.; Schelhorn, Constanze; Carolis, Carlo; Macias, Maria J.; Yanes, Oscar; Oliva, Baldo; Beato, Miguel",NA,NA,NA,"SCIENCE","JUN 3 2016","2016","352","6290",NA,NA,NA,"1221","1225",NA,"10.1126/science.aad9335",NA,NA,"42","10.5",3,15,15,9
"A resonant chain of four transiting, sub-Neptune planets","Mills, Sean M.; Fabrycky, Daniel C.; Migaszewski, Cezary; Ford, Eric B.; Petigura, Erik; Isaacson, Howard",NA,NA,NA,"NATURE","MAY 26 2016","2016","533","7604",NA,NA,NA,"509","+",NA,"10.1038/nature17445",NA,NA,"42","10.5",1,16,19,6
"Quantum criticality with two length scales","Shao, Hui; Guo, Wenan; Sandvik, Anders W.",NA,NA,NA,"SCIENCE","APR 8 2016","2016","352","6282",NA,NA,NA,"213","216",NA,"10.1126/science.aad5007",NA,NA,"42","10.5",4,15,14,9
"Seasonal and daily climate variation have opposite effects on species elevational range size","Chan, Wei-Ping; Chen, I-Ching; Colwell, Robert K.; Liu, Wei-Chung; Huang, Cho-ying; Shen, Sheng-Feng",NA,NA,NA,"SCIENCE","MAR 25 2016","2016","351","6280",NA,NA,NA,"1437","1439",NA,"10.1126/science.aab4119",NA,NA,"42","10.5",7,17,15,3
"Survey of variation in human transcription factors reveals prevalent DNA binding changes","Barrera, Luis A.; Vedenko, Anastasia; Kurland, Jesse V.; Rogers, Julia M.; Gisselbrecht, Stephen S.; Rossin, Elizabeth J.; Woodard, Jaie; Mariani, Luca; Kock, Kian Hong; Inukai, Sachi; Siggers, Trevor; Shokri, Leila; Gordan, Raluca; Sahni, Nidhi; Cotsapas, Chris; Hao, Tong; Yi, Song; Kellis, Manolis; Daly, Mark J.; Vidal, Marc; Hill, David E.; Bulyk, Martha L.",NA,NA,NA,"SCIENCE","MAR 25 2016","2016","351","6280",NA,NA,NA,"1450","1454",NA,"10.1126/science.aad2257",NA,NA,"42","10.5",4,19,12,7
"CLK2 inhibition ameliorates autistic features associated with SHANK3 deficiency","Bidinosti, Michael; Botta, Paolo; Kruttner, Sebastian; Proenca, Catia C.; Stoehr, Natacha; Bernhard, Mario; Fruh, Isabelle; Mueller, Matthias; Bonenfant, Debora; Voshol, Hans; Carbone, Walter; Neal, Sarah J.; McTighe, Stephanie M.; Roma, Guglielmo; Dolmetsch, Ricardo E.; Porter, Jeffrey A.; Caroni, Pico; Bouwmeester, Tewis; Luthi, Andreas; Galimberti, Ivan",NA,NA,NA,"SCIENCE","MAR 11 2016","2016","351","6278",NA,NA,NA,"1199","1203",NA,"10.1126/science.aad5487",NA,NA,"42","10.5",4,13,17,8
"Stable amorphous georgeite as a precursor to a high-activity catalyst","Kondrat, Simon A.; Smith, Paul J.; Wells, Peter P.; Chater, Philip A.; Carter, James H.; Morgan, David J.; Fiordaliso, Elisabetta M.; Wagner, Jakob B.; Davies, Thomas E.; Lu, Li; Bartley, Jonathan K.; Taylor, Stuart H.; Spencer, Michael S.; Kiely, Christopher J.; Kelly, Gordon J.; Park, Colin W.; Rosseinsky, Matthew J.; Hutchings, Graham J.",NA,NA,NA,"NATURE","MAR 3 2016","2016","531","7592",NA,NA,NA,"83","+",NA,"10.1038/nature16935",NA,NA,"42","10.5",4,20,10,8
"Asymmetric Lewis acid organocatalysis of the Diels-Alder reaction by a silylated C-H acid","Gatzenmeier, Tim; van Gemmeren, Manuel; Xie, Youwei; Hoefler, Denis; Leutzsch, Markus; List, Benjamin",NA,NA,NA,"SCIENCE","FEB 26 2016","2016","351","6276",NA,NA,NA,"949","952",NA,"10.1126/science.aae0010",NA,NA,"42","10.5",9,13,17,3
"The sexual identity of adult intestinal stem cells controls organ size and plasticity","Hudry, Bruno; Khadayate, Sanjay; Miguel-Aliaga, Irene",NA,NA,NA,"NATURE","FEB 18 2016","2016","530","7590",NA,NA,NA,"344","+",NA,"10.1038/nature16953",NA,NA,"42","10.5",8,16,16,2
"NANOG alone induces germ cells in primed epiblast in vitro by activation of enhancers","Murakami, Kazuhiro; Guenesdogan, Ufuk; Zylicz, Jan J.; Tang, Walfred W. C.; Sengupta, Roopsha; Kobayashi, Toshihiro; Kim, Shinseog; Butler, Richard; Dietmann, Sabine; Surani, M. Azim",NA,NA,NA,"NATURE","JAN 21 2016","2016","529","7586",NA,NA,NA,"403","+",NA,"10.1038/nature16480",NA,NA,"42","10.5",5,15,12,10
"Improved limit on the electric dipole moment of the electron","Andreev, V.; Ang, D. G.; DeMille, D.; Doyle, J. M.; Gabrielse, G.; Haefner, J.; Hutzler, N. R.; Lasner, Z.; Meisenhelder, C.; O'Leary, B. R.; Panda, C. D.; West, A. D.; West, E. P.; Wu, X.","ACME Collaboration",NA,NA,"NATURE","OCT 18 2018","2018","562","7727",NA,NA,NA,"355","+",NA,"10.1038/s41586-018-0599-8",NA,NA,"41","20.5",0,0,7,34
"Functional aspects of meningeal lymphatics in ageing and Alzheimer's disease","Da Mesquita, Sandro; Louveau, Antoine; Vaccari, Andrea; Smirnov, Igor; Cornelison, R. Chase; Kingsmore, Kathryn M.; Contarino, Christian; Onengut-Gumuscu, Suna; Farber, Emily; Raper, Daniel; Viar, Kenneth E.; Powell, Romie D.; Baker, Wendy; Dabhi, Nisha; Bai, Robin; Cao, Rui; Hu, Song; Rich, Stephen S.; Munson, Jennifer M.; Lopes, M. Beatriz; Overall, Christopher C.; Acton, Scott T.; Kipnis, Jonathan",NA,NA,NA,"NATURE","AUG 9 2018","2018","560","7717",NA,NA,NA,"185","+",NA,"10.1038/s41586-018-0368-8",NA,NA,"41","20.5",0,0,14,27
"A small amount of mini-charged dark matter could cool the baryons in the early Universe","Munoz, Julian B.; Loeb, Abraham",NA,NA,NA,"NATURE","MAY 31 2018","2018","557","7707",NA,NA,NA,"684","+",NA,"10.1038/s41586-018-0151-x",NA,NA,"41","20.5",0,0,25,16
"Gut microbiota utilize immunoglobulin A for mucosal colonization","Donaldson, G. P.; Ladinsky, M. S.; Yu, K. B.; Sanders, J. G.; Yoo, B. B.; Chou, W. -C.; Conner, M. E.; Earl, A. M.; Knight, R.; Bjorkman, P. J.; Mazmanian, S. K.",NA,NA,NA,"SCIENCE","MAY 18 2018","2018","360","6390",NA,NA,"SI","795","+",NA,"10.1126/science.aaq0926",NA,NA,"41","20.5",0,0,16,25
"Field-deployable viral diagnostics using CRISPR-Cas13","Myhrvold, Cameron; Freije, Catherine A.; Gootenberg, Jonathan S.; Abudayyeh, Omar O.; Metsky, Hayden C.; Durbin, Ann F.; Kellner, Max J.; Tan, Amanda L.; Paul, Lauren M.; Parham, Leda A.; Garcia, Kimberly F.; Barnes, Kayla G.; Chak, Bridget; Mondini, Adriano; Nogueira, Mauricio L.; Isern, Sharon; Michael, Scott F.; Lorenzana, Ivette; Yozwiak, Nathan L.; MacInnis, Bronwyn L.; Bosch, Irene; Gehrke, Lee; Zhang, Feng; Sabeti, Pardis C.",NA,NA,NA,"SCIENCE","APR 27 2018","2018","360","6387",NA,NA,NA,"444","448",NA,"10.1126/science.aas8836",NA,NA,"41","20.5",0,0,20,21
"Pan-cancer genome and transcriptome analyses of 1,699 paediatric leukaemias and solid tumours","Ma, Xiaotu; Liu, Yu; Liu, Yanling; Alexandrov, Ludmil B.; Edmonson, Michael N.; Gawad, Charles; Zhou, Xin; Li, Yongjin; Rusch, Michael C.; Easton, John; Huether, Robert; Gonzalez-Pena, Veronica; Wilkinson, Mark R.; Hermida, Leandro C.; Davis, Sean; Sioson, Edgar; Pounds, Stanley; Cao, Xueyuan; Ries, Rhonda E.; Wang, Zhaoming; Chen, Xiang; Dong, Li; Diskin, Sharon J.; Smith, Malcolm A.; Auvil, Jaime M. Guidry; Meltzer, Paul S.; Lau, Ching C.; Perlman, Elizabeth J.; Maris, John M.; Meshinchi, Soheil; Hunger, Stephen P.; Gerhard, Daniela S.; Zhang, Jinghui",NA,NA,NA,"NATURE","MAR 15 2018","2018","555","7696",NA,NA,NA,"371","+",NA,"10.1038/nature25795",NA,NA,"41","20.5",0,0,20,21
"Precision editing of the gut microbiota ameliorates colitis","Zhu, Wenhan; Winter, Maria G.; Byndloss, Mariana X.; Spiga, Luisella; Duerkop, Breck A.; Hughes, Elizabeth R.; Buttner, Lisa; Romao, Everton de Lima; Behrendt, Cassie L.; Lopez, Christopher A.; Sifuentes-Dominguez, Luis; Huff-Hardy, Kayci; Wilson, R. Paul; Gillis, Caroline C.; Tukel, Cagla; Koh, Andrew Y.; Burstein, Ezra; Hooper, Lora V.; Baumler, Andreas J.; Winter, Sebastian E.",NA,NA,NA,"NATURE","JAN 11 2018","2018","553","7687",NA,NA,NA,"208","+",NA,"10.1038/nature25172",NA,NA,"41","20.5",0,0,21,20
"An excess of massive stars in the local 30 Doradus starburst","Schneider, F. R. N.; Sana, H.; Evans, C. J.; Bestenlehner, J. M.; Castro, N.; Fossati, L.; Graefener, G.; Langer, N.; Ramirez-Agudelo, O. H.; Sabin-Sanjulian, C.; Simon-Diaz, S.; Tramper, F.; Crowther, P. A.; de Koter, A.; de Mink, S. E.; Dufton, P. L.; Garcia, M.; Gieles, M.; Henault-Brunet, V.; Herrero, A.; Izzard, R. G.; Kalari, V.; Lennon, D. J.; Apellaniz, J. Maiz; Markova, N.; Najarro, F.; Podsiadlowski, Ph.; Puls, J.; Taylor, W. D.; van Loon, J. Th.; Vink, J. S.; Norman, C.",NA,NA,NA,"SCIENCE","JAN 5 2018","2018","359","6371",NA,NA,NA,"69","71",NA,"10.1126/science.aan0106",NA,NA,"41","20.5",0,0,28,13
"Structures of the calcium-activated, non-selective cation channel TRPM4","Guo, Jiangtao; She, Ji; Zeng, Weizhong; Chen, Qingfeng; Bai, Xiao-chen; Jiang, Youxing",NA,NA,NA,"NATURE","DEC 14 2017","2017","552","7684",NA,NA,NA,"205","+",NA,"10.1038/nature24997",NA,NA,"41","13.67",0,0,30,11
"Loci associated with skin pigmentation identified in African populations","Crawford, Nicholas G.; Kelly, Derek E.; Hansen, Matthew E. B.; Beltrame, Marcia H.; Fan, Shaohua; Bowman, Shanna L.; Jewett, Ethan; Ranciaro, Alessia; Thompson, Simon; Lo, Yancy; Pfeifer, Susanne P.; Jensen, Jeffrey D.; Campbell, Michael C.; Beggs, William; Hormozdiari, Farhad; Mpoloka, Sununguko Wata; Mokone, Gaonyadiwe George; Nyambo, Thomas; Meskel, Dawit Wolde; Belay, Gurja; Haut, Jake; Rothschild, Harriet; Zon, Leonard; Zhou, Yi; Kovacs, Michael A.; Xu, Mai; Zhang, Tongwu; Bishop, Kevin; Sinclair, Jason; Rivas, Cecilia; Elliot, Eugene; Choi, Jiyeon; Li, Shengchao A.; Hicks, Belynda; Burgess, Shawn; Abnet, Christian; Watkins-Chow, Dawn E.; Oceana, Elena; Song, Yun S.; Eskin, Eleazar; Brown, Kevin M.; Marks, Michael S.; Loftus, Stacie K.; Pavan, William J.; Yeager, Meredith; Chanock, Stephen; Tishkoff, Sarah A.","NISC Comparative Sequencing Progra",NA,NA,"SCIENCE","NOV 17 2017","2017","358","6365",NA,NA,NA,"887","+",NA,"10.1126/science.aan8433",NA,NA,"41","13.67",0,3,23,15
"SAMTOR is an S-adenosylmethionine sensor for the mTORC1 pathway","Gu, Xin; Orozco, Jose M.; Saxton, Robert A.; Condon, Kendall J.; Liu, Grace Y.; Krawczyk, Patrycja A.; Scaria, Sonia M.; Harper, J. Wade; Gygi, Steven P.; Sabatini, David M.",NA,NA,NA,"SCIENCE","NOV 10 2017","2017","358","6364",NA,NA,NA,"813","818",NA,"10.1126/science.aao3265",NA,NA,"41","13.67",0,1,24,16
"High-speed plasmonic modulator in a single metal layer","Ayata, Masafumi; Fedoryshyn, Yuriy; Heni, Wolfgang; Baeuerle, Benedikt; Josten, Arne; Zahner, Marco; Koch, Ueli; Salamin, Yannick; Hoessbacher, Claudia; Haffner, Christian; Elder, Delwin L.; Dalton, Larry R.; Leuthold, Juerg",NA,NA,NA,"SCIENCE","NOV 3 2017","2017","358","6363",NA,NA,NA,"630","632",NA,"10.1126/science.aan5953",NA,NA,"41","13.67",0,0,24,17
"Chaotic dynamics in nanoscale NbO2 Mott memristors for analogue computing","Kumar, Suhas; Strachan, John Paul; Williams, R. S. Tanley",NA,NA,NA,"NATURE","AUG 17 2017","2017","548","7667",NA,NA,NA,"318","321",NA,"10.1038/nature23307",NA,NA,"41","13.67",0,1,27,13
"Mechanochemical unzipping of insulating polyladderene to semiconducting polyacetylene","Chen, Zhixing; Mercer, Jaron A. M.; Zhu, Xiaolei; Romaniuk, Joseph A. H.; Pfattner, Raphael; Cegelski, Lynette; Martinez, Todd J.; Burns, Noah Z.; Xia, Yan",NA,NA,NA,"SCIENCE","AUG 4 2017","2017","357","6350",NA,NA,NA,"475","478",NA,"10.1126/science.aan2797",NA,NA,"41","13.67",0,3,26,12
"The microbial metabolite desaminotyrosine protects from influenza through type I interferon","Steed, Ashley L.; Christophi, George P.; Kaiko, Gerard E.; Sun, Lulu; Goodwin, Victoria M.; Jain, Umang; Esaulova, Ekaterina; Artyomov, Maxim N.; Morales, David J.; Holtzman, Michael J.; Boon, Adrianus C. M.; Lenschow, Deborah J.; Stappenbeck, Thaddeus S.",NA,NA,NA,"SCIENCE","AUG 4 2017","2017","357","6350",NA,NA,NA,"498","502",NA,"10.1126/science.aam5336",NA,NA,"41","13.67",0,3,27,11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"uORF-mediated translation allows engineered plant disease resistance without fitness costs","Xu, Guoyong; Uan, Meng Y.; Ai, Chaoren; Liu, Lijing; Zhuang, Edward; Karapetyan, Sargis; Wang, Shiping; Dong, Xinnian",NA,NA,NA,"NATURE","MAY 25 2017","2017","545","7655",NA,NA,NA,"491","+",NA,"10.1038/nature22372",NA,NA,"41","13.67",0,6,25,10
"Anticancer sulfonamides target splicing by inducing RBM39 degradation via recruitment to DCAF15","Han, Ting; Goralski, Maria; Gaskill, Nicholas; Capota, Emanuela; Kim, Jiwoong; Ting, Tabitha C.; Xie, Yang; Williams, Noelle S.; Nijhawan, Deepak",NA,NA,NA,"SCIENCE","APR 28 2017","2017","356","6336",NA,NA,NA,NA,NA,"eaal3755","10.1126/science.aal3755",NA,NA,"41","13.67",0,9,20,12
"Enzymatic mineralization generates ultrastiff and tough hydrogels with tunable mechanics","Rauner, Nicolas; Meuris, Monika; Zoric, Mirjana; Tiller, Joerg C.",NA,NA,NA,"NATURE","MAR 16 2017","2017","543","7645",NA,NA,NA,"407","+",NA,"10.1038/nature21392",NA,NA,"41","13.67",0,7,17,17
"Crystallization of silicon dioxide and compositional evolution of the Earth's core","Hirose, Kei; Morard, Guillaume; Sinmyo, Ryosuke; Umemoto, Koichio; Hernlund, John; Helffrich, George; Labrosse, Stephane",NA,NA,NA,"NATURE","MAR 2 2017","2017","543","7643",NA,NA,NA,"99","+",NA,"10.1038/nature21367",NA,NA,"41","13.67",0,8,24,9
"Synthetic essentiality of chromatin remodelling factor CHD1 in PTEN-deficient cancer","Zhao, Di; Lu, Xin; Wang, Guocan; Lan, Zhengdao; Liao, Wenting; Li, Jun; Liang, Xin; Chen, Jasper Robin; Shah, Sagar; Shang, Xiaoying; Tang, Ming; Deng, Pingna; Dey, Prasenjit; Chakravarti, Deepavali; Chen, Peiwen; Spring, Denise J.; Navone, Nora M.; Troncoso, Patricia; Zhang, Jianhua; Wang, Y. Alan; DePinho, Ronald A.",NA,NA,NA,"NATURE","FEB 23 2017","2017","542","7642",NA,NA,NA,"484","+",NA,"10.1038/nature21357",NA,NA,"41","13.67",0,10,18,13
"Mega-evolutionary dynamics of the adaptive radiation of birds","Cooney, Christopher R.; Bright, Jen A.; Capp, Elliot J. R.; Chira, Angela M.; Hughes, Emma C.; Moody, Christopher J. A.; Nouri, Lara O.; Varley, Zoe K.; Thomas, Gavin H.",NA,NA,NA,"NATURE","FEB 16 2017","2017","542","7641",NA,NA,NA,"344","+",NA,"10.1038/nature21074",NA,NA,"41","13.67",0,11,18,12
"Deterministic entanglement generation from driving through quantum phase transitions","Luo, Xin-Yu; Zou, Yi-Quan; Wu, Ling-Na; Liu, Qi; Han, Ming-Fei; Tey, Meng Khoon; You, Li",NA,NA,NA,"SCIENCE","FEB 10 2017","2017","355","6325",NA,NA,NA,"620","+",NA,"10.1126/science.aag1106",NA,NA,"41","13.67",0,5,25,11
"TZAP: A telomere-associated protein involved in telomere length control","Li, Julia Su Zhou; Fuste, Javier Miralles; Simavorian, Tatevik; Bartocci, Cristina; Tsai, Jill; Karlseder, Jan; Denchi, Eros Lazzerini",NA,NA,NA,"SCIENCE","FEB 10 2017","2017","355","6325",NA,NA,NA,"638","+",NA,"10.1126/science.aah6752",NA,NA,"41","13.67",0,18,19,4
"Molybdenum chloride catalysts for Z-selective olefin metathesis reactions","Koh, Ming Joo; Nguyen, Thach T.; Lam, Jonathan K.; Torker, Sebastian; Hyvl, Jakub; Schrock, Richard R.; Hoveyda, Amir H.",NA,NA,NA,"NATURE","FEB 2 2017","2017","542","7639",NA,NA,NA,"80","+",NA,"10.1038/nature21043",NA,NA,"41","13.67",0,14,25,2
"Root diffusion barrier control by a vasculature-derived peptide binding to the SGN3 receptor","Doblas, Veronica G.; Smakowska-Luzan, Elwira; Fujita, Satoshi; Alassimone, Julien; Barberon, Marie; Madalinski, Mathias; Belkhadir, Youssef; Geldner, Niko",NA,NA,NA,"SCIENCE","JAN 20 2017","2017","355","6322",NA,NA,NA,"280","283",NA,"10.1126/science.aaj1562",NA,NA,"41","13.67",0,11,24,6
"The role of dimer asymmetry and protomer dynamics in enzyme catalysis","Kim, Tae Hun; Mehrabi, Pedram; Ren, Zhong; Sljoka, Adnan; Ing, Christopher; Bezginov, Alexandr; Ye, Libin; Pomes, Regis; Prosser, R. Scott; Pai, Emil F.",NA,NA,NA,"SCIENCE","JAN 20 2017","2017","355","6322",NA,NA,NA,NA,NA,"eaag2355","10.1126/science.aag2355",NA,NA,"41","13.67",0,12,19,10
"Aromatic and antiaromatic ring currents in a molecular nanoring","Peeks, Martin D.; Claridge, Timothy D. W.; Anderson, Harry L.",NA,NA,NA,"NATURE","JAN 12 2017","2017","541","7636",NA,NA,NA,"200","+",NA,"10.1038/nature20798",NA,NA,"41","13.67",0,12,18,11
"Regulation of sugar transporter activity for antibacterial defense in Arabidopsis","Yamada, Kohji; Saijo, Yusuke; Nakagami, Hirofumi; Takano, Yoshitaka",NA,NA,NA,"SCIENCE","DEC 16 2016","2016","354","6318",NA,NA,NA,"1427","1430",NA,"10.1126/science.aah5692",NA,NA,"41","10.25",1,15,18,7
"Genomic evolution and chemoresistance in germ-cell tumours","Taylor-Weiner, Amaro; Zack, Travis; O'Donnell, Elizabeth; Guerriero, Jennifer L.; Bernard, Brandon; Reddy, Anita; Han, G. Celine; AlDubayan, Saud; Amin-Mansour, Ali; Schumacher, Steven E.; Litchfield, Kevin; Turnbull, Clare; Gabriel, Stacey; Beroukhim, Rameen; Getz, Gad; Carter, Scott L.; Hirsch, Michelle S.; Letai, Anthony; Sweeney, Christopher; Van Allen, Eliezer M. .",NA,NA,NA,"NATURE","DEC 1 2016","2016","540","7631",NA,NA,NA,"114","+",NA,"10.1038/nature20596",NA,NA,"41","10.25",0,13,17,11
"Arginine phosphorylation marks proteins for degradation by a Clp protease","Trentini, Debora Broch; Suskiewicz, Marcin Jozef; Heuck, Alexander; Kurzbauer, Robert; Deszcz, Luiza; Mechtler, Karl; Clausen, Tim",NA,NA,NA,"NATURE","NOV 3 2016","2016","539","7627",NA,NA,NA,"48","+",NA,"10.1038/nature20122",NA,NA,"41","10.25",2,20,7,12
"Atomic model for the membrane-embedded V-O motor of a eukaryotic V-ATPase","Mazhab-Jafari, Mohammad T.; Rohou, Alexis; Schmidt, Carla; Bueler, Stephanie A.; Benlekbir, Samir; Robinson, Carol V.; Rubinstein, John L.",NA,NA,NA,"NATURE","NOV 3 2016","2016","539","7627",NA,NA,NA,"118","+",NA,"10.1038/nature19828",NA,NA,"41","10.25",0,11,23,7
"A pathogenic role for T cell-derived IL-22BP in inflammatory bowel disease","Pelczar, Penelope; Witkowski, Mario; Perez, Laura Garcia; Kempski, Jan; Hammel, Anna G.; Brockmann, Leonie; Kleinschmidt, Dorte; Wende, Sandra; Haueis, Cathleen; Bedke, Tanja; Witkowski, Marco; Krasemann, Susanne; Steurer, Stefan; Booth, Carmen J.; Busch, Philipp; Koenig, Alexandra; Rauch, Ursula; Benten, Daniel; Izbicki, Jakob R.; Roesch, Thomas; Lohse, Ansgar W.; Strowig, Till; Gagliani, Nicola; Flavell, Richard A.; Huber, Samuel",NA,NA,NA,"SCIENCE","OCT 21 2016","2016","354","6310",NA,NA,NA,"358","362",NA,"10.1126/science.aah5903",NA,NA,"41","10.25",0,14,17,10
"Ballistic miniband conduction in a graphene superlattice","Lee, Menyoung; Wallbank, John K.; Gallagher, Patrick; Watanabe, Kenji; Taniguchi, Takashi; Fal'ko, Vladimir, I; Goldhaber-Gordon, David",NA,NA,NA,"SCIENCE","SEP 30 2016","2016","353","6307",NA,NA,NA,"1526","+",NA,"10.1126/science.aaf1095",NA,NA,"41","10.25",0,18,16,7
"Drosophila insulin release is triggered by adipose Stunted ligand to brain Methuselah receptor","Delanoue, Renald; Meschi, Eleonora; Agrawal, Neha; Mauri, Alessandra; Tsatskis, Yonit; McNeill, Helen; Leopold, Pierre",NA,NA,NA,"SCIENCE","SEP 30 2016","2016","353","6307",NA,NA,NA,"1553","1556",NA,"10.1126/science.aaf8430",NA,NA,"41","10.25",3,10,19,9
"Surface uplift and time-dependent seismic hazard due to fluid injection in eastern Texas","Shirzaei, Manoochehr; Ellsworth, William L.; Tiampo, Kristy F.; Gonzalez, Pablo J.; Manga, Michael",NA,NA,NA,"SCIENCE","SEP 23 2016","2016","353","6306",NA,NA,NA,"1416","1419",NA,"10.1126/science.aag0262",NA,NA,"41","10.25",3,13,21,4
"Insights from biochemical reconstitution into the architecture of human kinetochores","Weir, John R.; Faesen, Alex C.; Klare, Kerstin; Petrovic, Arsen; Basilico, Federica; Fischboeck, Josef; Pentakota, Satyakrishna; Keller, Jenny; Pesenti, Marion E.; Pan, Dongqing; Vogt, Doro; Wohlgemuth, Sabine; Herzog, Franz; Musacchio, Andrea",NA,NA,NA,"NATURE","SEP 8 2016","2016","537","7619",NA,NA,NA,"249","+",NA,"10.1038/nature19333",NA,NA,"41","10.25",5,18,15,3
"Sea-ice transport driving Southern Ocean salinity and its recent trends","Haumann, F. Alexander; Gruber, Nicolas; Munnich, Matthias; Frenger, Ivy; Kern, Stefan",NA,NA,NA,"NATURE","SEP 1 2016","2016","537","7618",NA,NA,NA,"89","92",NA,"10.1038/nature19101",NA,NA,"41","10.25",1,10,19,11
"Light-dependent chlorophyll f synthase is a highly divergent paralog of PsbA of photosystem II","Ho, Ming-Yang; Shen, Gaozhong; Canniffe, Daniel P.; Zhao, Chi; Bryant, Donald A.",NA,NA,NA,"SCIENCE","AUG 26 2016","2016","353","6302",NA,NA,NA,NA,NA,"aaf9178","10.1126/science.aaf9178",NA,NA,"41","10.25",4,11,13,13
"Atmospheric photochemistry at a fatty acid-coated air-water interface","Rossignol, Stephanie; Tinel, Liselotte; Bianco, Angelica; Passananti, Monica; Brigante, Marcello; Donaldson, D. James; George, Christian",NA,NA,NA,"SCIENCE","AUG 12 2016","2016","353","6300",NA,NA,NA,"699","702",NA,"10.1126/science.aaf3617",NA,NA,"41","10.25",2,19,15,5
"Spt4 selectively regulates the expression of C9orf72 sense and antisense mutant transcripts","Kramer, Nicholas J.; Carlomagno, Yari; Zhang, Yong-Jie; Almeida, Sandra; Cook, Casey N.; Gendron, Tania F.; Prudencio, Mercedes; Van Blitterswijk, Marka; Belzil, Veronique; Couthouis, Julien; Paul, Joseph West, III; Goodman, Lindsey D.; Daughrity, Lillian; Chew, Jeannie; Garrett, Aliesha; Pregent, Luc; Jansen-West, Karen; Tabassian, Lilia J.; Rademakers, Rosa; Boylan, Kevin; Graff-Radford, Neill R.; Josephs, Keith A.; Parisi, Joseph E.; Knopman, David S.; Petersen, Ronald C.; Boeve, Bradley F.; Deng, Ning; Feng, Yanan; Cheng, Tzu-Hao; Dickson, Dennis W.; Cohen, Stanley N.; Bonini, Nancy M.; Link, Christopher D.; Gao, Fen-Biao; Petrucelli, Leonard; Gitler, Aaron D.",NA,NA,NA,"SCIENCE","AUG 12 2016","2016","353","6300",NA,NA,NA,"708","712",NA,"10.1126/science.aaf7791",NA,NA,"41","10.25",3,18,11,9
"Cilia-based flow network in the brain ventricles","Faubel, Regina; Westendorf, Christian; Bodenschatz, Eberhard; Eichele, Gregor",NA,NA,NA,"SCIENCE","JUL 8 2016","2016","353","6295",NA,NA,NA,"176","178",NA,"10.1126/science.aae0450",NA,NA,"41","10.25",1,14,19,7
